Cleaned_Sentence,Sentiment
accord latvian business register uponor latvia close red lvl 99000 eur 139538.17 usd 194556.48 turnover lvl 2.346 mn 2009 .,0
$ aapl . test high today probably go beyond hour ...,2
stock rise third day tuesday bring threeday rise gbx10 .50 1.8 % .,2
$ sbux downgrade neutral deutsche bank . price target reduce $ 64 $ 70 .,0
$ kgc oversold fall wedge positive divergence place launch pad look bounce .,2
finnish publisher alma medium hel aln1v say wednesday decide extend eur1 .85 usd2 .75 apiece mandatory tender offer medium group talentum hel ttm1v start 19 august 16 november .,1
tyrvinen opinion airline repeat time already however .,1
$ rost ross store upgrade outperform rbc capital market,2
ab inbev approach sabmiller explore $ 250bn tieup,2
finnish food worker union sel plan hasten collective bargaining twoday strike would begin 7 april 2010 finland .,1
customer include local company slo oy kiilto oy toptronics oy normark suomi oy pellonpaja oy mansner oy .,1
number customer one important parameter determine price electricity network .,1
$ rig who ever push crazy get ready suspend dividend turn growth stock blow earnings major buyback lol,1
$ hal bull lucky enuff get upside gap fill well take . wouldnt chase .,1
vanhanen say strike would extremely damaging 1300 participant reporter begin arrive finland oneday eu summit russian president vladimir putin lahti 100 kilometer 60 mile north helsinki .,0
moderate significant change result significant 2432 % reduction estimate cvd risk .,2
sale midstrength beer decrease 40 % .,0
fsecure online backup automatically protect content store computer smartphone make copy content online location .,1
dealer say share largely hit investor disappointment refine margin 9.48 usd per barrel quarter performance ship unit saw ebit drop 5 mln eur 20 mln eur year amid fall volume tanker rate .,1
longstanding partnership commitment enable party develop respective operation esl ship also opportunity update fleet improve efficiency .,2
nokia buy chicagobased navteq 2008 acquire map database compete google map well navigation device company tomtom nv garmin ltd. .,2
finnlines six ship construction china delivery schedule first quarter 2011 final quarter 2012 .,1
elektrobit eb renew infrastructure contract ict service provider fujitsu service eb patja service .,2
core solidium investment strategy proper value enhance asset management current holding .,2
finnish steel maker rautaruukki oyj hel rtrks ruukki say today net loss contract eur 49 million usd 68.2 first nine month 2010 eur 229 million period year ago .,2
commission say hydrogen peroxide pb market worth 470 million euro 2000 .,1
update easyjet passenger number aer lingus traffic february,2
operating profit 12month period decrease eur17 .9 net sale increase eur58 .3 compare 2007 .,0
facade riga 8 march 2010 finnish construction company yit oyj hel yty1v say today build frame facade tower construction project riga .,1
bunzl lift dividend acquisition continue boost profit,2
operating profit surge eur21m eur106 000 .,2
nordea chairman board hans dalborg inform nomination committee reelection annual general meeting 2011 .,1
belarus oao lidskoe pivo brewery base grodno region report 1.1 % decrease output 1.045 million decaliter januarymarch 2010 representative administration company tell .,0
$ astx daily technical indicator bullish . breakout watch 4.58,2
contract allot per low price criterion .,1
high court finland fin seven local asphalt company lion $ 117 million operating cartel .,1
sale expect increase end year 2006 however .,2
contract employee 96 bluecollar worker end march august 2011 .,1
low capacity utilisation rate steel production considerably increase fixed cost per unit steel produce .,0
group turnover full fiscal year expect show slight increase previous fiscal year .,2
operating profit decrease nearly eur 1.7 mn however .,1
finnish cargotec kalmar receive significant order u department defense .,2
earnings per share eps amount eur1 .37 eur2 .30 .,0
$ brcm raise revenue forecast,2
spokesperson tell wwd expect 5050 mix clothing home decor .,1
nokia call innovator africa competition specifically launch enable developer create locally relevant bestofbreed mobile application .,2
net sale surge 30 % eur 36 million .,2
authorisation force end next annual general meeting repeal authorisation acquire share give general meeting hold april 4 2007 .,1
poyry contract include engineering management civil detail engineering service time schedule procurement service .,1
value order eur 700000 .,1
company operate business two reportable segment include banking investment service nonlife insurance .,1
order include new crecent former headbox reel .,1
combine value plan investment eur 30mn .,1
follow information release comptel tomorrow chairman federal communication commission schedule deliver national broadband plan congress .,1
operating profit operation finland period review total eur 11.3 mn remain 2005 level .,1
mreal corporation press release 3 november 1035 mreal corporation second best company material sector include e.g . forest industry company carbon disclosure leadership index cdli nordic report 2009 .,2
ingen establish medical device manufacturer emerge new medical product line respiratory market worth estimate $ 4 billion u.s. $ 8 billion globally .,1
operating loss total eur 0.8 mn compare profit eur 0.5 mn .,1
scanfil system supplier contract manufacturer communication sector give notice 20 productional employee temporarily lay 15 employee company plant sievi finland .,0
alfa group 43.9 % vote stock new company telenor 35.4 % free float 20.7 % .,1
kingfisher share price slide cost implement new strategy,0
profit tax decrease eur 31.6 mn eur 50.0 mn year .,0
8600 time investment fully lease several tenant .,1
company own state finland european aeronautic defense space company eads n.v. tekla international software company provide solution build construction energy distribution municipality .,1
$ csx another strong rail today break intraday resistance 1 $ 9.80,2
data process unit collect data calculates rvr value provide data user via various interface .,1
addition russia seek additional growth ukraine .,2
aim increase sale least one fifth 2006 .,2
rohwedder group automotive supply telecommunication electronics industry provider customer europe north america asia .,1
accord hk ruokatalo almost meat use company come finland .,1
number bodily injury case quadruple 20002006 .,1
finland snow storm bring tree power line cut electricity 2000 household .,1
acquisition price disclose .,1
scanfil also issue profit warning .,1
acquisition part ramirent central eastern european growth strategy .,1
upm say move lower net profit x20ac 385 million u $ 520 million second quarter mainly due impairment charge .,0
poor index figure give finnish power company fortum 4.5 .,1
company intend launch housing development acquire land plot construct 5000060 000 square metre housing per annum 2011 .,1
seppala transfer sale great extent last year february reflect january sale figure .,1
ab inbev ups offer sabmiller deadline loom,2
contract employee 96 bluecollar worker end march august 2011 .,0
stora enso target cut eur 4.85 eur 5.55 holmen target sek 135 sek 150 .,1
condition deal savcor alfa buy photonium akseli lahtinen inc. business operation prior deal .,1
$ spy dont hang bull hat yet . next week pop high qe3 hope back feds 2 day meeting .,2
consolidated operating profit continue operation decrease 62.3 % eur 51.2 mn eur 135.7 mn 2007 .,0
share shall repurchase public trading reason share repurchase otherwise proportion holding shareholder .,1
airline estimate cancellation flight due closure european airspace process recommence traffic cause company loss eur20m include cost strand passenger accommodation .,1
transaction double tecnomens workforse add fourth net sale .,2
warmly welcome satama state jussi lansio chairman board .,2
webmarela application handle invitation quote quote comparison agreement purchase invoice inspection inventory management delivery .,1
cargotec brand hiab kalmar macgregor global market leader field solution use land sea wherever cargo move .,1
lnnen tehtaat food division reorganise two strategic business unit apetit frozen food jam apetit fish .,1
$ twtr sad thing move takeover rumor sell next day !,0
wellknown brand include fitness equipment maker precor u.s. base ball sport equipment maker wilson .,1
z. bavelloni longstanding md dino bavelloni retire end 2005 .,1
seller eoss innovationsmanagement group private individual .,1
net sale go 1 % yearonyear eur 29 million affected business acquisition realize previous financial period effect eur 5.1 million review period .,2
result company decide implement fixedterm temporary layoff .,0
uncertainty cloud longterm outlook .,0
elcoteq expect net sale last quarter 2010 level third quarter .,1
company annual loss amount eek 18mn compare profit eek 7.3 mn 2008 .,0
mill concentrate get supercalendered line run satisfactorily restart old newsprint line .,1
aktia forecast finland inflation 1.1 % 2010 .,1
kone list nordic exchange helsinki .,1
finnish fibrebased material maker ahlstrom corp hel ahl1v say today decide close spunlace composite production line number 23 chirnside plant uk end march 2011 .,1
subjectmatter invention furthermore use cyclone separate partly melt particle .,1
rautaruukki say construction group yit award 2.5 mln eur contract supply steel structure new bridge span kemijoki river northern finland .,2
long $ tsla short $ mbly,2
also technopolis plan build 100 million euro technology park special economic zone neudorf st. petersburg st. petersburg government say february .,1
lassila tikanoja operating profit exclude nonrecurring imputed item second quarter eur11 .3 eur13 .8 year ago .,0
castecka say town hall would hold talk investor interested zone .,1
technology become available business fourth quarter nokia say .,1
london open taylor wimpey ashtead drive market higher barclays fall,2
bullish engulf coca cola $ ko,2
study design enable formal statistical evaluation therapeutic activity company say .,1
upon completion transaction metso stake amount 60 % .,1
mika stahlberg vp fsecure lab say excited proud fsecure recognize avcomparatives product year .,2
madison wis. feb. 6 prnewswire fiskars announces united state patent trademark office grant trademark registration color orange iconic scissor handle .,2
company exist investment plan coordinate .,1
component tesla announce recall 2700 model x suv . $ tsla,0
finnish message solution developer tecnomen corporation omx helsinki tem1v say thursday 11 december receive expansion order convergent charge solution latin america .,2
operating profit improve 39.9 % eur 18.0 mn eur12 .8 mn .,2
value contract eur 27mn .,1
party therefore agree leave avena deal .,1
company also supply 200 mw power generate equipment number project papua new guinea include 12 engine wartsila 32 type lihir gold .,1
addition fireplace export demand line stone exceed level earlier part year continue clearly brisker remainder year .,2
company thetrainline.com announces arrival london ipo,2
flurry analytics spokesperson say measuring window phone 7 data week firm doublechecked data make sure 66 per cent rise aberration .,1
pharmaceutical italy brandnew market analysis give clear overview actual situation future outlook pharmaceutical market italy .,1
swedbank share hard hit swedish bank ongoing international financial crisis .,1
growth strong fsecure operator isps mobile operator cable operator business .,2
talvik say relocation application program server continue hp server approve hp supply tailormade solution elisa .,1
gunneflo responsible oriolakd pharmaceutical trade business sweden .,1
samsung currently occupy third place lose ground quarter drop 1.8 % 11.1 % share overall .,0
last week finnish metal technology group announce plan sell 80 percent technology unit company strategic goal become world large stainless steel maker .,2
second quarter 2010 group net profit rise eur 3.1 million eur 2.5 million apriljune 2009 .,2
travel expense would reimburse accordance travel policy company .,1
pretax profit total eur 80.8 mn compare loss eur 13.1 mn correspond period 2009 .,2
11 august 2010 finnish measure equipment maker vaisala oyj hel vaias say today net loss widen eur4 .8 first half 2010 eur2 .3 corresponding period year earlier .,1
supreme court uphold $ 236 million jury award exxonmobil,0
price kesko share 10 mln euro $ 15.5 mln recognize gain 4.0 mln euro $ 6.2 mln disposal include result second quarter 2008 .,2
purchase sum eur 10mn u $ 12.97 mn .,1
purpose action ensure company cost effectiveness year near future .,2
food trade sale amount eur320 .1 decline 1.1 % .,1
long $ pcln,2
company expect net sale whole 2007 eur 950mn1 000 mn .,1
apple inc. riproaring rally begin ! aapl investorplace $ aapl,2
purchase 12mp snapper nothing else .,1
upon completion deal panostaja establish new business area within group focus heat treatment metal .,1
diageo sell ryder cup venue gleneagles hotel ennismore group,2
m. master business administration mba .,1
rt correleation dollar index $ spy simply amaze . $ dx find support $ spy retreat like clockwork,0
profit tax total eur 12.1 mn .,1
operating loss total eur 4.0 mn compare profit eur 8.6 mn second quarter 2008 .,0
finnish scanfil system supplier contract manufacturer communication sector electronics industry report net sale total eur 94.7 mn first half 2010 eur 99.5 mn first half 2009 .,0
whitbread buy 49 % stake pure food chain,2
separate side business able faster expand develop tapro retail network .,2
sudden optimism iphone sale i.e . bad expected give apple $ aapl lift .,2
accord company addition normal seasonal fluctuation market situation weaken autumn 2008 .,1
company previous estimate lower revenue yearago eur 93.9 million .,0
operating loss total eur 12.7 mn compare profit eur 17.7 mn first half 2008 .,0
accord scanfil demand telecommunication network product fluctuate significantly third quarter 2006 situation expect remain unstable rest year .,0
stock hit profit warn finnish rival rautaruukki oyj omx rtrks .,0
net sale finnish sanoma learn literature finnish medium group sanoma decrease 3.6 % januaryjune 2009 total eur 162.8 mn eur 168.8 mn correspond period 2008 .,0
arto ryymin born 1964 replace juhani kaisanlahti work act evp healthcare welfare since august 2007 .,1
$ txrh report q1 eps $ 0.37 versus estimate $ 0.35 beat $ 0.02 . eps 19 % quarter last year .,2
$ aapl mcdonalds big grow success year bigmac apple update improbe iphone ipad,2
acquisition considerably increase kemira sale market position russian metal industry coating market .,2
remote radio head module available 4w power 2.5 ghz 3.5 ghz tdd frequency band .,1
finnish forest machinery manufacturer ponsse net sale grow eur 51.3 mn first quarter 2010 eur 37.5 mn correspond period 2009 .,2
lower price u competitor show real estate market stabilise return balance apartment acquire fair price eye client .,2
satama net profit third quarter 2007 rise 275000 euro $ 395000 270000 euro $ 388000 period 2006 .,2
natural source isoprene tree specie hevea brasiliensis also know rubber tree .,1
accord finnair technical service measure due employment situation .,1
would huge process .,1
$ gpro 25 % since tue morning .,0
london afx share rautaruukki corp upgrade hold sell abn amro price target raise 25.75 eur 14.5 say dealer .,2
operating profit decrease eur 16mn eur 21.1 mn 2008 .,0
costanza light aluminum base washable shade come white pistachio orange blue red .,1
solution instal usa support north american operation customer .,1
lsc 30 employee move ixonos exist status benefit .,1
raffle equity ltd become substantial holder archer exploration ltd january 12 11.7 million share 18.2 pc .,1
finnish bank land report operate profit fell eur 4.9 mn third quarter 2007 eur 5.6 mn third quarter 2006 .,1
baird upgrade tesla motor $ tsla outperform,2
raute say order worth around 15 mln eur supply several plywood production line mill operate russian wood product company sveza group .,2
metso oyj say sell spreader roll manufacturing business relate asset town nokia southern finland group finnish investor operate business name finbow oy .,1
combine value order eur 45mn .,1
tekla group net sale 2006 approximately 50 million euro operate result 13.6 million euro .,1
kai tulonen chief technology officer sysopen digia say use corporate phonebook inside sysopen digia extensively since last fall satisfy result .,2
enclose affecto call extraordinary general meeting hold july 10th main agenda approve authorization board propose share issue relate component software acquisition elect haakon skaarer affecto board .,1
earnings per share eps 2005 decrease eur1 .87 eur1 .89 2003 .,0
july 2 2007 market cap segment update accord average price may 2007 .,1
monday bull ! stock ticker michael james ent . pick $ sbux $ gvp $ nke,2
group aim increase net sale comparable operating profit 2006 .,2
cencorp net sale first quarter estimate eur0.91 .2 compare eur4 .5 first quarter 2008 .,0
paper mill central maine town madison soon new owner .,1
offer 30 million share aim raise x20ac 500 million u $ 640 million expect complete oct. 9 outokumpu say .,1
efore result last quarter show even faster improvement company manage good source component .,2
company design manufacture market highquality clothe interior decoration textile bag accessory .,1
cdp establish initiative institutional investor however annually publish result also interest increase number customer interest group report company .,1
accordance strategy strengthen local presence establish representative office south africa october .,2
casino red bell $ lvs 0.75 % $ wynn 0.47 % $ wynn 0.47 % unusual comibinations whats run whats red bell,0
eps quarter come 0.36 eur 0.33 eur year ago ahead forecast 0.33 eur .,2
accordance term condition alma medium 2006 option program share subscription price 2006a option right eur 4.88 per share book countervalue eur 0.60 per share .,1
company make marketing sale investment initiated 2009 even efficient 2010 .,2
ebit total eur 14.4 mn compare loss eur 0.3 mn correspond period 2009 .,2
orion net profit third quarter 2007 decrease 36.5 mln euro $ 52.1 mln 40.3 mln euro $ 57.5 mln year earlier .,0
omx helsinki 25 end 0.47 pct low 3150.55 omx helsinki 0.21 pct 10736.42 1.523 bln eur turnover .,1
basware connectivity service allow company handle purchase pay process online make internal process efficient say ceo ilkka sihvo basware corporation .,2
time profit company increase 10 % h1 reach ls 79000 .,2
mill capacity produce 500000 tonne pulp per year .,1
operating profit total eur 7.0 mn loss eur 4.0 mn second quarter 2009 .,2
$ mat 6 % big trader add 10000 april put contract 3 day ago,0
sysopen digia plc press release 7 february 2006 ibm finland reward distinguished partner company 2005 .,2
dilute earnings per share eps rise eur 0.29 eur 0.05 .,2
nice chart show distinctive channel dip .. see bottom ? $ spy .. $ 150 ? .. $ 130 ?,0
share subscription period expire 30 september 2007 .,1
$ enb.ca headshoulders bullish reversal setup breakout . oil gas pipleline stock . $ uso,2
severn trent share price rise first half profit inch customer ...,2
name company holding acquire citycon oyj 2 .,1
aldata solution oyj thomas hoyer cfo information aldata solution oyj thomas hoyer cfo tel . 358 45 670 0491 aldata brief aldata solution one global leader supply chain software retail wholesale logistics company .,1
easyjet lead britain ftse low global bond rout resume,0
production schedule start end april 2007 .,1
asia earlier japan nikkei index fell 0.62 percent hong kong hang seng index rise 0.56 percent .,1
fiskars 360yearold global business best know orangehandled scissors expect derive synergy eur5 million year consolidate certain part housewares division two compete .,2
every partner allow buy quantity electricity correspond share consortium production cost letter intent say .,1
board establish remuneration committee follow member sari baldauf chairman tapio hintikka heikki westerlund addition board decide appoint nomination committee later stage .,1
method utilises waterborne ultra product give protection wooden surface industrial paint process whereby two layer top coat apply exterior wooden panel board without separate primer .,1
berkshire seek boost well fargo stake 10 percent,2
agreement provide switch double converter capacity whilst open manufacturing location china .,2
due pirkka beer olvi brewery iisalmi move 7day 24hour work shift .,1
metsaliitto sell 1.1 million b share neomarkka account 18.3 pct neomarkka equity 12.7 pct voting right .,1
huge bridge girder deliver site plant ylivieska finland .,1
von koskull oversee new unit nordea bring together corporate merchant bank financial institution capital market product division .,1
thanks multiply effect wagon performance transport much efficient say development manager juha malkia vr cargo .,2
accord notice skandinaviska enskilda banken ab publ helsinki branch 10 august 2009 divest total 11958000 alma medium share ilkkayhtyma oyj kaleva kustannus oy condition agreement make company 1 july 2009 fulfil .,1
line 4 run fully underground comprise 10 station execute two implementation stage .,1
finnish supplier bssoss va telecom operator tecnotree receive expansion order worth total u $ 7.3 mn convergent charge next generation message solution latin america company announce without specify operator place order .,2
q1 2010 18 may 2010 finnish electrical component maker salcomp oy hel sal1v say today turn net profit eur1 .6 first quarter 2010 versus loss eur2m correspond period last year .,2
second variant offer complete final finishing select apartment foreign high quality material finland denmark germany france .,1
net profit period 2006 x20ac 172 million .,1
break 52 week high time look great $ ahs $ baby $ post $ ige $ irdm $ ewbc $ phys $ ulta $ vnet $ biv,2
repurchase shall decrease distributable capital reserve .,1
$ stx move bottom still bear market $ emc $ sndk $ wdc,0
organization member russian auto sector union mpra become active since tikkurila acquire russian paint company kraski teks 2006 .,1
new share entitle holder dividend fiscal 2006 .,1
ebitda year 2009 improve eur484m compare eur472m 2008 .,2
finnish talentum report operate profit increase eur 20.5 mn 2005 eur 9.3 mn 2004 net sale total eur 103.3 mn eur 96.4 mn .,2
operating profit turnover threemonth period increase respectively eur0 .9 eur8 .3 compare corresponding period 2005 .,2
bridge 1.2 km long locate anasmotet road e20 new traffic junction marieholm road e45 .,1
finnish electronics manufacturer pkc group oyj omx helsinki pkc1v say wednesday 31 december complete acquisition man nutzfahrzeuge ag cable harness business man star truck bus spolka zoo poland .,2
veidekke headquarter oslo norway scandinavian construction property development group 6350 employee norway sweden denmark annual turnover nok16 .4 bn .,1
member partner use mostly apparent increase efficiency result service observe perttu puro tradeka .,2
protalix develop genetically engineer protein plant cell .,1
decision make quickly possible .,1
$ cat hangin thread . 1click away cliff drop .. need follow snapback vix,0
incident happen 230 p.m. avenue 192 road 196 .,1
verizon att accuse hurting rival,0
chf great product .,2
1411 cet arcelormittal lose 7.26 % eur 17.38 euronext paris come lead bluechip faller .,1
cooperation airbaltic expect lead transfer finncomm ownership airbaltic time .,1
loaded $ bsx yesterdaylooking good . still think way upside downside .,2
lemminkainen group headquarter helsinki finland operate sector construction industry civil engineering building contract technical building service building material industry .,1
power supply dc power system inverter design manufacture efore system incorporate use many different application .,1
pertti ervi independent company major shareholder .,1
parallel teliasonera decide conduct compulsory acquisition .,1
cut frequency new york last year explain fall say .,1
mr ashley deputy executive chairman sport direct sell 43pc stake company pound 900m time float .,1
exel composite longterm growth prospect remain favourable however .,2
combine exist solution single platform comptel say reduce cost deployment .,2
shell share price standard life announce position bg acquisition,0
sabs chairman dig board divide inbev offer,1
company say sale three month end march slid eur86 .4 u $ 113.4 eur91 .2 last year .,0
$ trow ascend triangle give bullish bias chart . breakout 84 positive,2
total scope project 38000 square metre value total around eur75m .,1
net interest income increase 4.5 % eur 31.4 mn eur 30.0 mn 2004 .,2
addition exist service counter area reception hall rebuild access provide local rail connection .,1
helsinki afx kci konecranes say raise stake mmh holding inc owner usbased morris material handle 90.9 pct 74.5 pct .,2
cut bring outdoors birchbranch coaster .,1
consolidated operating profit continue operation decrease 62.3 % eur 51.2 mn eur 135.7 mn 2007 .,1
contract value amount eur 2.4 million .,1
net sale finnish food industry company lnnen tehtaat continue operation increase 13 % 2008 eur 349.1 mn eur 309.6 mn 2007 .,2
acquisition kaupthing sverige bring significant positive nonrecurring addition group performance .,2
adp news nov 5 2008 finnish electronic measurement product solution maker vaisala oyj omx vaias say today net profit rise eur 18 million usd 23.1 first nine month 2008 eur 1,2
renesas mobile europe ltd approximately 470 employee oulu .,1
selfservice automation big role fujitsu global resource exploit effectively .,2
group profit tax eur 02 78 million .,1
permanent magnet generator power converter today prefer solution new wind turbine design company say .,1
finnish rautaruukki award contract supply install steel superstructure partihallsfrbindelsen bridge gothenburg sweden .,2
fair value capman plc investment 30 september 2008 amount meur 59.8 .,1
update barclays expect gain settle lehman bros trustee,2
st. petersburg oct 14 primetass finnish tire producer nokian tyre plan invest 50 million euros expansion tire plant city vsevolozhsk russia leningrad region 2011 company president kim gran told reporter thursday .,2
nokia also note average selling price handset decline period though mobile phone profit margin rise 22 percent 13 percent yearago quarter .,2
wpp world large ad agency report strong 2015 growth,2
q1 2009 company operate loss total eur 0.3 mn compare profit eur 3.6 mn q1 2008 .,1
finnish lifting equipment maker konecranes hel kcr1v say 29 july 2009 raise stake austrian manipulator maker acs konecranes 80 % bought german sector player knight europe .,2
cash flow investment amount eur45m eur46m .,1
baltimore police fire pension $ 1.5 billion lose $ 3.5 million madoff ponzi scheme .,0
scanfil plc global contract manufacturer system supplier communication industrial electronics .,1
fingerfriendly opinion really fast .,1
board director propose extraordinary general meeting authorise board decide issuance maximum 30mn new share one share issue .,1
eur5 .9 h1 09 3 august 2009 finnish medium group ilkkayhtyma oyj hel ilk2s say today net profit fell 45 % year eur5 .9 first half 2009 .,0
accord sweden minister local government financial market mat odell decision sell state share telecom group teliasonera carry cooperation state finland .,1
mobile phone shipment jump 26 percent almost 112 million unit finnish company global market share rise 39 percent 36 percent .,2
accord mark white locatrix communication ceo company web service interface allow device owner friends family track locate twig user via web browser .,1
$ spy could pride social medium gettin ready fall ? $ fb chart roll ?,0
accord viking line manage director nilserik eklund company board director satisfy viking line performance .,2
megafon subscriber base increase 16.1 % 2009 50.5 million user december 31 market share number customer amount 24 % late 2009 23 % late 2008 accord teliasonera estimate .,2
finnair believe strike cause daily net loss excess eur 2mn due cancel reservation passenger rerouting .,0
adp news feb 11 2009 finnish wood product technology supplier raute oyj hel rutav say today net profit decrease eur 4.7 million usd 6.1 2008 eur 6.6 million 2007 .,0
contract cover turnkey delivery five airport operate authority john f kennedy laguardia newark teterboro stewart international .,1
total 140 job reduce raahe steel work .,1
release oct. 28 peab say two business continue conduct brand cliffton stockholm entreprenad part peab group .,1
23 april 2010 finnish construction engineering company outotec oyj hel ote1v say today slip net loss eur7 .3 first quarter 2010 net profit eur12 .5 corresponding period last year .,1
repair maintenance business account net sale eur 645.3 mn eur 563.6 mn .,2
stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raise fair value share four large nordic forestry group .,2
valmet automotive report net sale eur 85mn operating profit eur 8mn .,1
profit period eur 9.8 mn eur 6.0 mn 2004 .,2
sweden oversupply pharmacy .,0
firm build component mobile phone communication product .,1
capacity ease seikku sawmill pori alholma sawmill pietarsaari result 60 people lay around six week start midmay say .,0
exel board director propose dividend 0.2 euro $ 0.3 per share 2006 annual general meeting april 19 2007 .,1
announced solution unit speed cooperation august shift simonson finance chief lowend phone october .,1
authorization force period 18 month resolution general meeting .,1
revenue quarter total 27.4 billion 2 percent 28.1 billion fourth quarter 2008 .,1
sweden oversupply pharmacy .,1
rollsroyce ensure compliance petrobras bribery report,1
japan nikkei land financial time $ 1.3 billion deal,2
manager critical politician failure differentiate beleaguer european financial institution skandinavian bank sail crisis without issue .,1
plant would use palm oil certify roundtable sustainable palm oil rspo .,1
depends financing .,1
finnish publishing print group ilkkayhtym introduce staff smoking ban begin 2007 company three newspaper .,1
saving full impact begin 2007 .,1
ship unloader totally enclose along entire conveying line storage facility .,1
entire paper mill may set especially new eu member state .,1
rapala estimate net sale 2008 increase 8.0 pct 12 pct assume 2007 exchange rate .,2
operating profit net sale sixmonth period increase respectively eur7 .5 eur655 .5 compare corresponding period 2005 .,2
jukka hienonen current finnair ceo step end january 2010 .,1
price talk euribor plus 2 bps area sole lead citigroup .,1
property purchase swedish private equity real estate firm niam goldman sachs whitehall street real estate fund .,1
sunrise resource operate russian nearshore development market whollyowned russian subsidiary 80 % personnel russia .,1
$ fast $ gww daily sale slow pretty timely coincident indicator,0
result russia import restriction finnish dairy company cancel 6 august 2010 .,2
analyst survey thomson financial expect revenue $ 69 million quarter .,1
20 october 2010 finnish environmental management company lassila tikanoja oyj hel lat1v lt say monday expect operating profit exclude nonrecurring item whole 2010 slightly low 2009 .,1
total number share company 585236987 innofactor group innofactor offer customer comprehensive solution microsoft environment .,1
new unit major investment finnish medium scene .,1
yahoo stock $ 36.46 bidding war pick company $ yhoo,2
know exist artemyev say .,1
long $ endp $ 26.23 $ agn bo rumor,2
kesko pursues strategy healthy focus growth concentrate sale service consumercustomers .,2
timberrrr $ tsla,0
return capital employ rise 4.8 percentage point 19.6 % .,2
periodend cash cash equivalent total eur6 .5 compare eur10 .5 previous year .,0
80 special event three county four month host library system nine branch library .,1
eps grow 0.04 eur 0.02 eur .,2
net cash flow operation expect remain positive .,2
adp news nov 28 2008 finnish powersupply solution provider efore oyj omx efo1v announce today launch opus dc late power system opus product line .,2
$ axp look continuation volume increase,2
uponor improve performance spite decrease residential construction u .,2
include software development internet mobile telephone content communication valueadded software financial service security application system integration electronics .,1
$ spy extreme win today 2 cent 2009 low 10year $ spy 2 percent life bowl cherries great short set $ $,0
nokia share hit 13.21 euro friday 50 percent start year part slow introduction touchscreen model .,1
focus improve profitability next year streamline operation .,2
time delighted fact able accomplish organization team member .,2
server responsible manage device user account desktop client application enable remote access mobile phone .,1
earnings per share eps eur0 .03 loss eur0 .083 .,2
company transportation business conduct florida rock tank line southeastern transportation company concentrate haul motor carrier liquid dry bulk commodity .,1
ipad application join iphone app part monster range mobile application job hunting .,1
currently 100 global fortune 500 company use ssh security solution .,1
10 february 2011 finnish medium company sanoma oyj hel saa1v say yesterday 2010 net profit almost triple eur297 .3 eur107 .1 2009 announce proposal raise payout .,2
aberdeen post h1 outflow say condition remain challenge,0
$ aapl downgrade bias . stock buy .,2
$ dnkn $ kkd $ dpz $ loco inside week buy trigger .,2
operating profit exclude nonrecurring item total eur 2.2 mn eur 2.7 mn correspond period 2008 .,0
$ ugaz cold put dent massive horizontal rig production . know,0
$ amrn full bull call spread range july jan 15. let see baby,2
$ aapl aapl finally break 49 m.a .. buyback week look aapl test 120 support area .,0
recent interview financial time ft sampo board chairman bjorn wahlroos say pc certainly sale price set sek 85 billion confirm early statement .,1
technopolis approximately 130 customer company jyvaskyla .,1
crh add cr laurence acquisition tally $ 1.3bn,2
nordea coordinate syndicate loan .,1
operating profit total eur 5.5 mn eur 0.7 mn .,2
value contract eur 25mn .,1
real estate company post net loss x201a 59.3 million x201a 0.21 per share compare net profit x201a 31 million x201a 0.11 per share correspond quarter 2007 .,1
bbcn bancorp buy wilshire bancorp $ 1 bln deal,2
cramo slip pretax loss eur 6.7 million pretax profit eur 58.9 million .,1
stora enso r share rise 1.20 pct 11.84 eur upmkymmene also drag high rise 1.68 pct 17.56 eur mreal b add 2.38 pct 4.30 eur .,2
finnish lifting equipment maker kone oyj say october 4 2007 order worth 15 mln euro $ 21.2 mln deliver total 53 custom design elevator norwegian shipbuilder aker yard asa .,2
adp news feb 12 2009 finnish construction company lemminkainen oyj hel lem1s say today net profit decrease eur 63.5 million usd 81.1 2008 eur 80.6 million 2007 .,1
swedbank hypotek issue benchmark fix rate cover deal euros mature january 2010 .,1
report email within 2 business day order .,1
upm say move lower net profit x20ac 385 million u $ 520 million second quarter mainly due impairment charge .,1
finnish meat company atria longer promise sufficient amount domestic beef customer .,0
metso say order worth around 40 mln eur supply kraftliner board machine china lee man paper co. .,2
adp news feb 11 2009 finnish management software solution provider ixonos oyj hel xns1v say today net profit rise eur 3.5 million usd 4.5 2008 eur 3.1 million 2007 .,2
50 $ kor 80 call go b bless daughter tuition !,2
tekla structure product box need make recycled material .,1
company report loss period eur 0.4 mn compare loss eur 1.9 mn correspond period 2005 .,2
elsewhere tendency towards develop packaging .,1
accord seikku retail sector finland control 34 large actor food manufacturer still relatively small .,1
tesco abandon videostreaming ambition blinkbox sale,0
royal mail share price edge low group raise stamp price,0
however broker rating stock differ .,1
group ebit first half eur13 .6 u $ 17.8 fall short eur22 .5 post period 2009 .,0
company anticipate turnover whole 2010 surpass previous year eur 67.1 million .,2
finnish financial software solution developer basware oyj say net profit fell 884000 euro $ 1.2 mln first quarter 2007 2.0 mln euro $ 2.7 mln year earlier .,0
stonegate product family design provide full benefit unify management system include share log report auditing .,1
